dataset,cvi
cluto-t8-8k,"[silhouette, mc_clain_rao, Banfeld_Raferty]"
sizes4,"[silhouette, point_biserial, Banfeld_Raferty]"
fourty,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
target,"[i_index, modified_hubert_t, Banfeld_Raferty]"
ba0.0a,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
elliptical_10_2,"[PBM_index, mc_clain_rao, Banfeld_Raferty]"
zelnik6,"[point_biserial, Xie_Beni, Banfeld_Raferty]"
d31,"[point_biserial, c_index, Banfeld_Raferty]"
square4,"[i_index, modified_hubert_t, Banfeld_Raferty]"
cuboids,"[Ratkowsky_Lance, Banfeld_Raferty, Davies_Bouldin]"
sizes1,"[calinski_harabasz, Ray_Turi, Banfeld_Raferty]"
2d-4c-no9,"[calinski_harabasz, Ratkowsky_Lance, Banfeld_Raferty]"
shapes,"[calinski_harabasz, PBM_index, Banfeld_Raferty]"
R15,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
2d-20c-no0,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
dpc,"[SDBW, i_index, Banfeld_Raferty]"
disk-4600n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
glass,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
2sp2glob,"[SDBW, point_biserial, Banfeld_Raferty]"
dartboard2,"[i_index, modified_hubert_t, Banfeld_Raferty]"
square2,"[calinski_harabasz, modified_hubert_t, Banfeld_Raferty]"
zelnik5,"[SDBW, i_index, Banfeld_Raferty]"
disk-1000n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
tetra,"[mc_clain_rao, Banfeld_Raferty, Davies_Bouldin]"
chainlink,"[SDBW, s_dbw, Banfeld_Raferty]"
ds4c2sc8,"[i_index, mc_clain_rao, Banfeld_Raferty]"
zelnik2,"[calinski_harabasz, Banfeld_Raferty, Davies_Bouldin]"
long2,"[SDBW, i_index, Banfeld_Raferty]"
twodiamonds,"[calinski_harabasz, modified_hubert_t, Banfeld_Raferty]"
long3,"[i_index, modified_hubert_t, Banfeld_Raferty]"
sizes2,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
hepta,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
2d-4c-no4,"[s_dbw, Scott_Symons, Banfeld_Raferty]"
xclara,"[modified_hubert_t, Dunns_index, Banfeld_Raferty]"
hypercube,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
disk-4000n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
smile1,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
square3,"[SDBW, i_index, Banfeld_Raferty]"
spherical_4_3,"[calinski_harabasz, Davies_Bouldin, Banfeld_Raferty]"
zelnik1,"[c_index, PBM_index, Banfeld_Raferty]"
atom,"[SDBW, i_index, Banfeld_Raferty]"
2d-4c,"[s_dbw, PBM_index, Banfeld_Raferty]"
square5,"[i_index, modified_hubert_t, Banfeld_Raferty]"
donut3,"[silhouette, Ray_Turi, Banfeld_Raferty]"
sizes5,"[calinski_harabasz, i_index, Banfeld_Raferty]"
donut1,"[Ratkowsky_Lance, Dunns_index, Banfeld_Raferty]"
complex8,"[point_biserial, Dunns_index, Banfeld_Raferty]"
xor,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
long1,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
donut2,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
square1,"[calinski_harabasz, Ratkowsky_Lance, Banfeld_Raferty]"
engytime,"[SDBW, i_index, Banfeld_Raferty]"
triangle1,"[i_index, Dunns_index, Banfeld_Raferty]"
smile2,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
aggregation,"[calinski_harabasz, PBM_index, Banfeld_Raferty]"
compound,"[mc_clain_rao, Dunns_index, Banfeld_Raferty]"
pathbased,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
ds3c3sc6,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
jain,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
curves1,"[c_index, Ratkowsky_Lance, Banfeld_Raferty]"
cluto-t4-8k,"[SDBW, i_index, Banfeld_Raferty]"
segment,"[calinski_harabasz, i_index, Banfeld_Raferty]"
rings,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
diamond9,"[point_biserial, c_index, Banfeld_Raferty]"
zelnik3,"[SDBW, Ratkowsky_Lance, Banfeld_Raferty]"
disk-3000n,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
longsquare,"[silhouette, Scott_Symons, Banfeld_Raferty]"
spherical_6_2,"[SDBW, i_index, Banfeld_Raferty]"
2d-3c-no123,"[SDBW, silhouette, Banfeld_Raferty]"
lsun,"[modified_hubert_t, PBM_index, Banfeld_Raferty]"
3MC,"[i_index, modified_hubert_t, Banfeld_Raferty]"
elly-2d10c13s,"[i_index, c_index, Banfeld_Raferty]"
aml28,"[Ray_Turi, Dunns_index, Banfeld_Raferty]"
dpb,"[silhouette, point_biserial, Banfeld_Raferty]"
2dnormals,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
3-spiral,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
disk-6000n,"[calinski_harabasz, point_biserial, Banfeld_Raferty]"
dense-disk-5000,"[i_index, modified_hubert_t, Banfeld_Raferty]"
tae,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
ds850,"[SDBW, i_index, Banfeld_Raferty]"
dartboard1,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
gaussians1,"[SDBW, Dunns_index, Banfeld_Raferty]"
sizes3,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
wingnut,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
impossible,"[s_dbw, Dunns_index, Banfeld_Raferty]"
haberman,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
arrhythmia,"[modified_hubert_t, Scott_Symons, Banfeld_Raferty]"
heart-statlog,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
dense-disk-3000,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
complex9,"[c_index, Dunns_index, Banfeld_Raferty]"
spiralsquare,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
flame,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
iris,"[calinski_harabasz, Davies_Bouldin, Banfeld_Raferty]"
DS-577,"[SDBW, i_index, Banfeld_Raferty]"
donutcurves,"[i_index, modified_hubert_t, Banfeld_Raferty]"
blobs,"[i_index, Davies_Bouldin, Banfeld_Raferty]"
disk-4500n,"[silhouette, s_dbw, Banfeld_Raferty]"
cure-t2-4k,"[s_dbw, Banfeld_Raferty, Davies_Bouldin]"
cure-t0-2000n-2D,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
dermatology,"[SDBW, i_index, Banfeld_Raferty]"
ecoli,"[modified_hubert_t, Scott_Symons, Banfeld_Raferty]"
cure-t1-2000n-2D,"[point_biserial, i_index, Banfeld_Raferty]"
ds2c2sc13,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
cluto-t5-8k,"[calinski_harabasz, i_index, Banfeld_Raferty]"
cluto-t7-10k,"[silhouette, mc_clain_rao, Banfeld_Raferty]"
spherical_5_2,"[i_index, modified_hubert_t, Banfeld_Raferty]"
disk-5000n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
cassini,"[silhouette, i_index, Banfeld_Raferty]"
thy,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
DS-850,"[calinski_harabasz, point_biserial, Banfeld_Raferty]"
zoo,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
simplex,"[SDBW, silhouette, Banfeld_Raferty]"
threenorm,"[modified_hubert_t, c_index, Banfeld_Raferty]"
ds577,"[i_index, Dunns_index, Banfeld_Raferty]"
iono,"[modified_hubert_t, Scott_Symons, Banfeld_Raferty]"
zelnik4,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
balance-scale,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
triangle2,"[calinski_harabasz, mc_clain_rao, Banfeld_Raferty]"
pmf,"[PBM_index, Davies_Bouldin, Banfeld_Raferty]"
sonar,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
twenty,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
curves2,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
spiral,"[SDBW, i_index, Banfeld_Raferty]"
smile3,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
circle,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
2d-10c,"[SDBW, i_index, Banfeld_Raferty]"
