dataset,kmeans,meanshift,dbscan,affinitypropagation,spectralclustering,agglomerativeclustering,optics,birch
2d-10c,0.98331414,0.760230264,0.701823225,3.23E-16,0.687653679,0.489124942,0.377223124,0.689591475
2d-20c-no0,0.792127216,0.493214309,0.911120762,-3.31E-16,0.773833901,0.381392555,0.474563905,0.53429321
2d-3c-no123,0.622951559,0.794508025,-6.97E-16,0.479695978,0.622732586,0.794508025,0.246779218,0.937617033
2d-4c-no4,0.750695894,0.952922257,0.66277039,0.584588373,0.629758173,0.748730151,0.300903962,0.672012116
2d-4c-no9,0.725187671,0.830196723,0.644527867,0,0.820375867,0.660914294,0.294252139,0.90081167
2d-4c,0.748845198,1,0.685442183,7.19E-16,0.649891685,0.718394707,0.299007205,0.885629083
2dnormals,0.333715801,0,0.011195168,0,0.336676738,0.543819505,0.148696371,0.355940512
2sp2glob,0.615687891,0.857142857,0.855588062,0,0.64215935,0.666666667,0.652613968,0.857142857
3-spiral,0.119163233,0,0.168273226,0.376173027,0.703343844,0.003416153,0.14518911,0.020086606
3MC,0.681625049,0.660746957,0.856279598,7.20E-16,0.706087019,0.722602113,0.370947356,0.789165573
aggregation,0.851789712,0.541579553,2.62E-16,0.733369031,0.943615424,0.553430013,0.348771488,0.769957852
aml28,0.695322778,0.944219971,0.500902369,9.56E-16,0.594471672,0.753068664,0.319220434,0.896600965
atom,0.590849294,0.523028681,0,0.412582343,0.018177257,0.219695506,0.198059967,0.489881399
balance-scale,0.269949557,-1.82E-16,-1.82E-16,0.213912667,0.177124643,0.064062996,-1.82E-16,0.125399223
banana,0.50106643,0.407682202,0,0,0.400476893,0.094300253,0.161859144,0
blobs,0.608892388,0.594880604,0.004767484,0.528116154,0.592828972,0.58790312,0.283604065,0.825311715
cassini,0.635651012,0.636379249,-1.89E-15,0.497341509,0.525333353,0.778979417,0.29184006,0.766890507
chainlink,0.501331239,0,1,0,0.434011539,0.365824501,0.209151908,0.39536912
circle,0.157804046,-1.44E-15,-1.44E-15,0.214378382,0.211451951,0.000773771,0.173796336,0.02001437
complex8,0.589278465,0.24522155,-5.97E-17,-5.97E-17,0.001283554,0.325263228,0.382597777,0.560588183
complex9,0.678293527,0.385141536,-3.51E-16,-3.51E-16,0.005339298,0.371296721,0.394336494,0.720134551
compound,0.71435995,0.577800772,0.141432954,0.665448274,0.630407822,0.587704982,0.425732811,0.806069223
cuboids,0.793445625,0.440732193,-1.23E-15,0.66481704,0.769287995,0.613221507,0.303595434,0.887454328
cure-t0-2000n-2D,0.472132277,0.448931301,-2.95E-15,-2.95E-15,0.480529728,0.878334856,0.180180802,0.499209101
cure-t1-2000n-2D,0.785475168,0.399852449,-3.12E-16,-3.12E-16,0.757956064,0.605670874,0.335324461,0.787112519
cure-t2-4k,0.767644502,0.419710914,-3.56E-16,-3.56E-16,0.763489002,0.590498433,0.334212972,0.778185116
curves1,0.500028858,1,0,0,0.561486004,1,1,0
curves2,0.500018757,0.285567098,0,0,0.658410947,0.008935977,1,0
d31,0.703686551,0.310381131,0.837500238,0,0.690658082,0.313553164,0.464401301,0.455032259
dartboard2,0.330034548,0,0,0,0.45418838,0.007932338,1,0
dense-disk-3000,0.047675813,-3.09E-15,0.48069845,-3.09E-15,0.264028287,0.000630826,0.14958941,0.0145164
dense-disk-5000,0.045213986,8.96E-16,0.07368731,8.96E-16,0.372867126,0.000155614,0.148662178,0.005258418
diamond9,0.901333184,0.319766578,-2.27E-16,-2.27E-16,0.940113913,0.443635466,0.404402825,0.620931187
disk-1000n,0.298192592,-2.00E-15,0.241462142,0.208842357,0.316787116,0.015876702,0.186507483,0.035552829
disk-3000n,0.157224393,-1.65E-15,0.111044772,-1.65E-15,0.375065578,0.00055378,0.167084359,0.025732054
disk-4000n,0.226023615,5.24E-08,0.979192363,-8.87E-16,0.392239193,0.166355372,0.133502813,0.029908591
disk-4500n,0.188878683,-4.09E-15,0.001026586,-4.09E-15,0.421647952,0.008129292,0.151359513,0.144974745
disk-4600n,0.148786575,0.000245205,0.239198581,1.03E-14,0.145624717,0.008244607,0.085470528,0.023827914
disk-5000n,0.189159458,0.000124711,5.66E-15,5.66E-15,0.349858197,0.039071215,0.127112855,0.051480261
donut1,0.587630603,0.559476743,0,0,0.628585615,0.230508953,0.565629774,0
donut2,0.394661002,0,0,0,0.018020861,0.209781945,0.551044231,0
donut3,0.778094223,0.692688768,1.52E-15,1.52E-15,0.745006998,0.533641505,0.518061092,1.52E-15
donutcurves,0.751935547,0.666666667,0,0,0.538256903,0.666666667,0.873811416,0
dpb,0.787159377,0.45037512,-1.32E-15,-1.32E-15,0.784203849,0.606588148,0.287853772,-1.32E-15
dpc,0.825556061,0.653549321,-1.11E-15,-1.11E-15,0.801401476,0.637957908,0.348015163,-1.11E-15
DS-577,0.690422643,0.873052191,1.01E-15,0.582620257,0.682315309,0.73728492,0.268336823,0.98028495
DS-850,0.862009213,0.467256473,4.18E-16,4.18E-16,0.876575477,0.568685209,0.348610085,0.70530545
ds2c2sc13,0.76617773,0.430764445,-2.27E-16,-2.27E-16,0.687829195,0.430764445,0.556430691,-2.27E-16
ds3c3sc6,0.686921345,0.439869698,-6.67E-17,-6.67E-17,0.550056772,0.505257113,0.418201537,-6.67E-17
ds4c2sc8,0.798150716,-2.70E-17,-2.70E-17,0.735431497,0.66341627,0.462774454,0.437307345,-2.70E-17
ds577,0.690732433,0.873052191,1.01E-15,0.582620257,0.682315309,0.73728492,0.268336823,0.98028495
ds850,0.846280741,0.467256473,4.18E-16,4.18E-16,0.876575477,0.568685209,0.348610085,0.70530545
ecoli,0.597660017,0.415473584,0.118319108,0.54305238,0.559926578,0.453988533,0.244387518,1.83E-16
elliptical_10_2,0.923640582,0.423877221,0.358235383,0.960503154,0.937320971,0.462855415,0.540296715,0.618113705
elly-2d10c13s,0.538364096,3.31E-16,3.31E-16,3.31E-16,0.440519658,0.332506106,0.31599479,0.385935842
engytime,0.40535239,-2.56E-15,0.000225594,-2.56E-15,0.250942185,0.646978707,0.149853627,0.263455465
flame,0.436786357,-2.71E-15,-2.71E-15,0.381829112,0.459175726,0.329688363,0.144005518,0.254485726
fourty,0.710820698,-3.01E-16,0.855039544,-3.01E-16,0.680163629,0.316359182,0.767384827,0.455144026
gaussians1,0.507992457,1,-1.28E-15,0.668341312,0.62247744,1,0.348621869,-1.28E-15
glass,0.442769864,0.468000599,0.308055249,0.419507879,0.20138182,0.289191987,0.34805479,0.268519757
haberman,0.045063428,0.002417083,-1.25E-15,0.055412565,0.017221505,0.007531967,0.022164872,0.060445828
heart-statlog,0.062721023,0.00024451,1.45E-15,0.061971592,0.021563276,0.013448391,0.06963171,0.021376677
hepta,0.975413013,3.99E-16,0.636853752,3.99E-16,0.975413013,0.518932982,0.600241256,0.657052304
hypercube,1,8.54E-16,0.604260012,1,1,0.482715859,0.284675358,0.662175478
impossible,0.678919621,0.329076528,0.913511311,9.44E-16,0.719312953,0.519907686,0.537343335,0.618013724
iono,0.206458847,0.176257002,0.142105108,0.209345264,0.252242721,0.138625995,0.123563538,0.210070519
iris,0.653919113,0.699401092,0.604415638,0.669267628,0.663111157,0.733680437,0.373757283,0.770083662
jain,0.437883664,0.215430118,0.055882052,0.377266535,0.500349245,0.505224572,0.201982531,0.382169051
long1,0.487093707,0,0,0,0.597418056,0.016164401,0.195862778,0.000950804
long2,0.472070554,-1.15E-15,-1.15E-15,0.366317701,0.320743307,0.035625685,0.214124348,0.0145214
long3,0.344082845,-3.77E-15,0.012535828,-3.77E-15,0.494403395,0.00197095,0.16792678,0.000593763
longsquare,0.886631778,0.506608233,0.554049136,-4.96E-16,0.957044615,0.524282654,0.381966765,0.755595583
lsun,0.676508767,0.411823539,1,0.585262771,0.675179708,0.386679128,0.309053272,0.496585919
pathbased,0.574024487,0.530460297,6.08E-16,0.523738176,0.75357021,0.494843817,0.316392961,0.551150477
pmf,0.701922206,0.74066122,0.329673692,1.99E-16,0.014162889,0.691171274,0.33496174,0.841888459
R15,0.74250783,3.07E-16,0.878330943,3.07E-16,0.74250783,0.253279158,0.506848512,0.440424673
rings,0.364213497,-5.05E-16,0.456235386,0.421081267,0.645780821,0.112436679,0.260969256,0.194764724
shapes,0.826158813,0.666666667,1,0,0.830302258,0.666666667,0.355779292,0.857142857
simplex,0.80251305,1.28E-15,1.28E-15,0.77925764,0.773787855,0.577159632,0.302664551,0.857142857
sizes1,0.732739459,0.482148018,0.501797165,-1.58E-15,0.847483977,0.614361836,0.309491076,0.70344506
sizes2,0.679768186,0.559735621,0.497096876,8.66E-16,0.84688539,0.643809118,0.249720838,0.645861983
sizes3,0.62618183,0.485294519,0.479043365,-1.72E-15,0.870902574,0.648913436,0.252191651,0.780223697
sizes4,0.583756878,0.695135219,0.449506615,0,0.840527442,0.724176151,0.208154056,0.82275443
sizes5,0.53055463,0.839867574,0.443233548,0.363733584,0.807821672,0.718673952,0.1902871,0.831988737
smile1,0.710324657,0.475444039,0,0,0.785142291,0.478060607,0.500135316,0
smile2,0.636549185,0.488004429,-9.54E-16,-9.54E-16,0.735555803,0.488905494,0.522797029,-9.54E-16
smile3,0.535676053,0.273518957,-4.29E-16,-4.29E-16,0.593110059,0.374542958,0.609232849,-4.29E-16
sonar,0.053849674,-1.29E-15,0.14681339,0.141261105,0.074973995,0.001915275,0.223673373,0.004453053
spherical_4_3,0.8195811,0.59704384,0.116450463,0.795182512,0.840141125,0.666666667,0.369361012,0.857142857
spherical_5_2,0.782919883,-6.90E-16,0.458429483,0.68931728,0.736203508,0.482940394,0.470150668,0.663191737
spherical_6_2,0.939990653,0.851959045,0.542866897,1,0.939857747,0.557885891,0.500308875,0.72161626
spiral,0.027481342,0,1,0,0.139212377,0.095618542,1,0.015312995
spiralsquare,0.628806157,0.55177239,0.816216355,-8.54E-16,0.625210712,0.579384395,0.787536302,0.708151766
square1,0.749706007,0.618252129,0.485617086,0.579597391,0.781702908,0.61333898,0.304505384,0.757762274
square2,0.714327825,0.588452674,0.484338938,0.544816514,0.710027115,0.573375884,0.301517691,0.732203835
square3,0.660175012,0.611770236,0.462443098,0,0.67649404,0.528444601,0.291520034,0.584114528
square4,0.590345936,0,0.43894881,0,0.538586847,0.455805208,0.277484559,0.467251443
square5,0.500700919,0,0.384581873,0.424328149,0.493618201,0.398509252,0.252575037,0.473138375
st900,0.782688581,0.346699173,1.52E-16,0.706900657,0.812750072,0.411370929,0.399648011,0.517547982
tae,0.057257311,2.02E-16,2.02E-16,0.106474643,0.036513435,0.009569998,0.102371281,0.026314192
target,0.59754205,0.651889183,0.986018011,0,0.751977832,0.329427509,0.222121355,0.450296428
tetra,0.801775854,1.28E-15,1.28E-15,0.639004875,0.628577306,0.577159632,0.261764104,0.76891077
threenorm,0.288095243,0,0.004242518,0.230281544,0.281546921,0.267650682,0.152112418,0.30859922
thy,0.331649343,0.424661181,-1.35E-15,0.354587877,0.042225871,0.139809721,0.184468009,0.582143575
triangle1,0.849670038,0.355511678,0.747346409,0,0.484118363,0.577159632,0.316802138,0.857142857
triangle2,0.762149026,0.769291732,0.354660026,-9.54E-16,0.82701557,0.606571072,0.302106584,0.792948813
twenty,0.795988334,-3.71E-16,0.958935708,-3.71E-16,0.770541941,0.375803649,0.484887729,0.515293207
twodiamonds,0.50044354,1,0,0.369461604,0.515775668,1,0.216477962,0.815162422
wingnut,0.435353969,0.568278799,0,0.342479971,0.417510645,0.493469535,0.197584367,0.510111881
xclara,0.683398614,0.987234761,0.027708788,-1.02E-15,0.004215871,0.727751942,0.243262713,1
xor,0.660929999,-6.41E-16,-6.41E-16,0.388344396,0.436829994,0.004369339,0.264740267,0.12095127
zelnik1,0.492291994,8.49E-16,8.49E-16,0.567743998,0.569999192,0.107122927,0.345392965,8.49E-16
zelnik2,0.639869167,0.669999531,0,0,0.620512789,0.503099297,0.379401962,0
zelnik3,0.729976596,0.382677219,7.25E-16,0.672938781,0.634613987,0.441149321,0.385449212,7.25E-16
zelnik4,0.800725712,0.843353135,6.45E-16,6.45E-16,0.874143884,0.666979033,0.391128492,6.45E-16
zelnik5,0.828269097,-8.04E-17,-8.04E-17,-8.04E-17,0.75844386,0.451807961,0.368958192,-8.04E-17
zelnik6,0.73006564,0.721536763,1.04E-15,1.04E-15,0.638618913,0.599918205,0.361981066,1.04E-15
zoo,0.817975515,0.542629439,0.224568541,0.772770989,0.820155362,0.406880767,0.606382264,0.542629439
